266 contests
rank	name	rating	participations
248	littlefriend1995	2580.5528224973164	11
249	nakari1124	2579.677616310072	53
250	dut200901102	2579.2543444989433	37
251	inszva-2	2577.751088919957	22
252	yottacto	2577.089812645794	43
253	@_deleted_user_1a9d00f9	2576.720519822457	27
254	simpleson	2573.680942078579	76
255	robinz62	2573.4133679264214	38
256	arjitkansal	2573.266274672161	30
257	autumn_eel	2572.9631384762483	29
258	_kay	2571.9476509270203	94
259	nskybytskyi	2571.4148476473492	16
260	rsajith	2569.84906646557	28
261	ADJA	2569.7941236847405	14
262	sas4eka	2567.3373130821037	12
263	please_AC	2566.857492024894	131
264	nguyen_hoanh	2565.286271689303	66
265	roll_no_1	2564.6467257383997	19
266	sohelH	2564.1981955347414	108
267	ustcsiwei88	2561.9525722074995	60
268	tanakat01	2561.732330477656	33
269	AhmedEzzat	2561.6063840828615	21
270	gyosh	2561.604033776163	13
271	cnmgb_leetcode	2560.9204456385937	14
272	TheRaven	2559.361352976616	29
273	sevenkplus	2559.1236225196294	4
274	triplem5ds	2558.574443418759	13
275	yang12138	2557.719738844446	15
276	naoya_t	2557.478306335813	88
277	deltacancri	2557.16425631506	62
278	ZihanWang98	2554.668439024593	34
279	luxcaelestis	2554.285496990714	6
280	LVL99	2554.0588624314596	28
281	alanlzl	2552.4364727361108	45
282	kasperyang	2552.4060989844265	42
283	PKUGoodSpeed	2552.388207900571	34
284	sevenlol	2551.2235603542376	49
285	swf	2550.0886467169903	20
286	happyleetcode	2548.0553279751803	64
287	yh157612	2547.9605239299517	78
288	htedsv-i	2547.85458859298	20
289	angelbeats	2547.5824551533397	45
290	cloudstrife0142	2547.253568931093	61
291	mengpq	2546.4078113319765	39
292	hwhuige	2546.379652940843	18
293	rtmkz	2545.572182909676	8
294	fmota	2545.4924583644643	13
295	TakahiroKarasawa	2544.7690206501634	13
296	piyifan	2544.1767110263563	16
297	lydxlx	2543.9192737908656	41
298	int65536	2543.81893761456	5
299	keymoon	2543.325506266708	15
300	newman1	2542.174082495967	8
301	HenryLee4	2541.3140382727365	60
